龙肝麟脯	lóng gān lín fǔ
榛榛狉狉	zhēn zhēn pī pī
甄心动惧	zhēn xīn dòng jù
甄奇录异	zhēn qí lù yì
甄烦就简	zhēn fán jiù jiǎn
甄才品能	zhēn cái pǐn néng
斟酌损益	zhēn zhuó sǔn yì
真知灼见	zhēn zhī zhuó jiàn
真知卓见	zhēn zhī zhuó jiàn
真真实实	zhēn zhēn shí shí
真真假假	zhēn zhēn jiǎ jiǎ
真赃实犯	zhēn zāng shí fàn
真凶实犯	zhēn xiōng shí fàn
真心真意	zhēn xīn zhēn yì
真心实意	zhēn xīn shí yì
真心诚意	zhēn xīn chéng yì
真相大白	zhēn xiàng dà bái
真相毕露	zhēn xiāng bì lù
真伪难辨	zhēn wěi nán biàn
真伪莫辨	zhēn wěi mò biàn
真实无妄	zhēn shí wú wàng
真山真水	zhēn shān zhēn shuǐ
真人真事	zhēn rén zhēn shì
真人面前不说假	zhēn rén miàn qián bù shuō jiǎ
真人不露相	zhēn rén bù lòu xiàng
真情实意	zhēn qíng shí yì
真情实感	zhēn qíng shí gǎn
真枪实弹	zhēn qiāng shí dàn
真凭实据	zhēn píng shí jù
真命天子	zhēn mìng tiān zǐ
真龙天子	zhēn lóng tiān zǐ
真龙活现	zhēn lóng huó xiàn
真金烈火	zhēn jīn liè huǒ
真金不怕火炼	zhēn jīn bù pà huǒ liàn
真金不怕火来烧	zhēn jīn bù pà huǒ lái shāo
真金不镀	zhēn jīn bù dù
真假难辨	zhēn jiǎ nán biàn
真独简贵	zhēn dú jiǎn guì
真刀真枪	zhēn dāo zhēn qiāng
真才实学	zhēn cái shí xué
珍肴异馔	zhēn yáo yì zhuàn
珍馐美馔	zhēn xiū měi zhuàn
珍羞美味	zhēn xiū měi wèi
珍味佳肴	zhēn wèi jiā yáo
珍禽异兽	zhēn qín yì shòu
珍禽奇兽	zhēn qín qí shòu
珍楼宝屋	zhēn lóu bǎo wū
珍产淫货	zhēn chǎn yín huò
珍藏密敛	zhēn cáng mì liǎn
针针丛棘	zhēn zhēn cóng jí
针头削铁	zhēn tóu xuē tiě
针头线脑	zhēn tóu xiàn nǎo
针芥之投	zhēn jiè zhī tóu
针芥之契	zhēn jiè zhī qì
针芥之合	zhēn jiè zhī hé
针芥相投	zhēn jiè xiāng tóu
针尖对麦芒	zhēn jiān duì mài máng
针锋相对	zhēn fēng xiāng duì
针插不进，水泼不进	zhēn chā bù jìn，shuǐ pō bù jìn
贞元会合	zhēn yuán huì hé
贞下起元	zhēn xià qǐ yuán
贞松劲柏	zhēn sōng jìng bǎi
贞节牌坊	zhēn jié pái fāng
贞高绝俗	zhēn gāo jué sú
贞夫烈妇	zhēn fū liè fù
贞风亮节	zhēn fēng liàng jié
贞不绝俗	zhēn bù jué sú
这山望着那山高	zhè shān wàng zhe nà shān gāo
赭衣塞路	zhě yī sàī lù
赭衣满道	zhě yī mǎn dào
者也之乎	zhě yě zhī hū
辙乱旗靡	zhé luàn qí mǐ
辙环天下	zhé huán tiān xià
辙鲋之急	zhé fù zhī jí
詟谀立懦	miàn yú lì nuò
辄作数日恶	zhé zuò shuò rì è
哲人其萎	zhé rén qí wěi
折足覆餗	shé zú fù zhào
折腰五斗	shé yāo wǔ dòu
折腰升斗	zhé yāo shēng dòu
折券弃债	zhé quàn qì zhài
折柳攀花	zhé liǔ pān huā
折矩周规	shé jǔ zhōu guī
折节向学	zhé jié xiàng xué
折节下贤人	zhé jié xià xián rén
折节下士	zhé jié xià shì
折节下谋士	zhé jié xià móu shì
折节礼士	zhé jié lǐ shì
折节读书	zhé jié dú shū
折节待士	zhé jié dài shì
折角之口	zhé jiǎo zhī kǒu
折胶堕指	shé jiāo duò zhǐ
折箭为誓	shé jiàn wéi shì
折戟沉沙	zhé jǐ chén shā
折桂攀蟾	zhé guì pān chán
折槁振落	zhé gǎo zhèn luò
折鼎覆餗	shé dǐng fù zú
折冲樽俎	shé chōng zūn zǔ
折冲尊俎	zhé chōng zūn zǔ
折冲之臣	shé chōng zhī chén
折冲御侮	shé chōng yù wǔ
折冲厌难	shé chōng yàn nán
折冲千里	zhé chōng qiān lǐ
折冲口舌之间	zhé chōng kǒu shé zhī jiān
折冲将军	zhé chōng jiāng jūn
折长补短	zhé cháng bǔ duǎn
折臂三公	zhé bì sān gōng
遮遮掩掩	zhē zhē yǎn yǎn
遮掩耳目	zhē yǎn ěr mù
遮羞布	zhē xiū bù
遮羞包丑	zhē xiū bāo chǒu
遮天映日	zhē tiān yìng rì
遮天压地	zhē tiān yā dì
遮天迷地	zhē tiān mí dì
遮天盖日	zhē tiān gài rì
遮天盖地	zhē tiān gài dì
遮天蔽日	zhē tiān bì rì
遮三瞒四	zhē sān mán sì
遮人眼目	zhē rén yǎn mù
遮人耳目	zhē rén ěr mù
遮前掩后	zhē qián yǎn hòu
遮空蔽日	zhē kōng bì rì
遮风挡雨	zhē fēng dǎng yǔ
遮地漫天	zhē dì màn tiān
遮地盖天	zhē dì gài tiān
照章办事	zhào zhāng bàn shì
照萤映雪	zhào yíng yìng xuě
照妖镜	zhào yāo jìng
照天蜡烛	zhào tiān là zhú
照人肝胆	zhào rén gān dǎn
照猫画虎	zhào māo huà hǔ
照葫芦画瓢	zhào hú lu huà piáo
照功行赏	zhào gōng xíng shǎng
照单全收	zhào dān quán shōu
照本宣科	zhào běn xuān kē
兆载永劫	zhào zǎi yǒng jié
召之即来，挥之即去	zhào zhī jí lái，huī zhī jí qù
召神弄鬼	zhào shén nòng guǐ
爪牙之士	zhǎo yá zhī shì
爪牙之将	zhǎo yá zhī jiàng
着三不着两	zháo sān bù zháo liǎng
昭昭之宇	zhāo zhāo zhī yǔ
昭昭之明	zhāo zhāo zhī míng
昭昭在目	zhāo zhāo zài mù
昭然著闻	zhāo rán zhù wén
昭然在目	zhāo rán zài mù
昭然若揭	zhāo rán ruò jiē
昭然可见	zhāo rán kě jiàn
昭穆伦序	zhāo mù lún xù
昭聋发聩	zhāo lóng fā kuì
昭德塞违	zhāo dé sāi wéi
招之即来，挥之即去	zhāo zhī jí lái，huī zhī jí qù
招之不来，麾之不去	zhāo zhī bù lái，huī zhī bù qù
招灾惹祸	zhāo zāi rě huò
招灾揽祸	zhāo zāi lǎn huò
招摇撞骗	zhāo yáo zhuàng piàn
招摇过市	zhāo yáo guò shì
招贤下士	zhāo xián xià shì
招贤纳士	zhāo xián nà shì
招贤礼士	zhāo xián lǐ shì
招亡纳叛	zhāo wáng nà pàn
招是生非	zhāo shì shēng fēi
招是惹非	zhāo shì rě fēi
招是揽非	zhāo shì lǎn fēi
招是搬非	zhāo shì bān fēi
招事惹非	zhāo shì rě fēi
招权纳赇	zhāo quán nà qiú
招权纳赂	zhāo quán nà lù
招权纳贿	zhāo quán nà huì
招门纳婿	zhāo mén nà xù
招军买马	zhāo jūn mǎi mǎ
招降纳顺	zhāo xiáng nà shùn
招降纳叛	zhāo xiáng nà pàn
招降纳款	zhāo xiáng nà kuǎn
招降纳附	zhāo xiáng nà fù
招架不住	zhāo jià bù zhù
招魂扬幡	zhāo hún yáng fān
招魂续魄	zhāo hún xù pò
招花惹草	zhāo huā rě cǎo
招蜂引蝶	zhāo fēng yǐn dié
招蜂惹蝶	zhāo fēng rě dié
招风惹雨	zhāo fēng rě yǔ
招风惹草	zhāo fēng rě cǎo
招风揽火	zhāo fēng lǎn huǒ
招财纳福	zhāo cái nà fú
招财进宝	zhāo cái jìn bǎo
招兵买马	zhāo bīng mǎi mǎ
朝奏夕召	zhāo zòu xī zhào
朝奏暮召	zhāo zòu mù zhào
朝种暮获	zhāo zhǒng mù hù
朝钟暮鼓	zhāo zhōng mù gǔ
朝真暮伪	zhāo zhēn mù wěi
朝折暮折	zhāo shé mù shé
朝云暮雨	zhāo yún mù yǔ
朝饔夕飧	zhāo yōng xī sūn
朝蝇暮蚊	zhāo yíng mù wén
朝盈夕虚	zhāo yíng xī xū
朝益暮习	zhāo yì mù xí
朝夷暮跖	zhāo yí mù zhí
朝阳鸣凤	zhāo yáng míng fèng
朝行夕改	zhāo xíng xī gǎi
朝新暮敝	zhāo xīn mù bì
朝西暮东	zhāo xī mù dōng
朝夕之策	zhāo xī zhī cè
朝夕相处	zhāo xī xiāng chǔ
朝夕共处	zhāo xī gòng chǔ
朝夕不倦	zhāo xī bù juàn
朝夕不保	zhāo xī bù bǎo
朝闻夕死	zhāo wén xī sǐ
朝闻夕没	zhāo wén xī mò
朝闻夕改	zhāo wén xī gǎi
朝闻道，夕死可矣	zhāo wén dào，xī sǐ kě yǐ
朝四暮三	zhāo sì mù sān
朝斯夕斯	zhāo sī xī sī
朝思夕想	zhāo sī xī xiǎng
朝思夕计	zhāo sī xī jì
朝思暮想	zhāo sī mù xiǎng
朝思暮念	zhāo sī mù niàn
朝施暮戮	zhāo shī mù lù
朝生夕死	zhāo shēng xī sǐ
朝生暮死	zhāo shēng mù sǐ
朝升暮合	zhāo shēng mù gě
朝三暮四	zhāo sān mù sì
朝荣夕灭	zhāo róng xī miè
朝荣夕悴	zhāo róng xī cuì
朝荣夕毙	zhāo róng xī bì
朝荣暮落	zhāo róng mù luò
朝秦暮楚	zhāo qín mù chǔ
朝乾夕惕	zhāo qián xī tì
朝气蓬勃	zhāo qì péng bó
朝气勃勃	zhāo qì bó bó
朝攀暮折	zhāo pān mù shé
朝令夜遁	zhāo lìng yè dùn
朝令夕更	zhāo lìng xī gēng
朝令夕改	zhāo lìng xī gǎi
朝令暮改	zhāo lìng mù gǎi
朝梁暮周	zhāo liáng mù zhōu
朝梁暮晋	zhāo liáng mù jìn
朝梁暮陈	zhāo liáng mù chén
朝来暮去	zhāo lái mù qù
朝兢夕惕	zhāo jīng xī tì
朝经暮史	zhāo jīng mù shǐ
朝齑暮盐	zhāo jī mù yán
朝晖夕阴	zhāo huī xī yīn
朝欢暮乐	zhāo huān mù lè
朝华夕秀	zhāo huá xī xiù
朝过夕改	zhāo guò xī gǎi
朝观夕览	zhāo guān xī lǎn
朝耕暮耘	zhāo gēng mù yún
朝更夕改	zhāo gēng xī gǎi
朝更暮改	cháo gèng mù gǎi
朝歌夜弦	zhāo gē yè xián
朝歌暮宴	zhāo gē mù yàn
朝歌暮弦	zhāo gē mù xián
朝飞暮卷	zhāo fēi mù juǎn
朝发夕至	zhāo fā xī zhì
朝发暮至	zhāo fā mù zhì
朝督暮责	zhāo dū mù zé
朝东暮西	zhāo dōng mù xī
朝打暮骂	zhāo dǎ mù mà
朝穿暮塞	zhāo chuān mù sāi
朝出夕改	zhāo chū xī gǎi
朝成夕毁	zhāo chéng xī huǐ
朝成暮毁	zhāo chéng mù huǐ
朝成暮遍	zhāo chéng mù biàn
朝趁暮食	zhāo chèn mù shí
朝朝暮夕	zhāo zhāo mù xī
朝朝暮暮	cháo cháo mù mù
朝朝寒食，夜夜元宵	zhāo zhāo hán shí，yè yè yuán xiāo
朝参暮礼	zhāo cān mù lǐ
朝不图夕	zhāo bù tú xī
朝不谋夕	zhāo bù móu xī
朝不虑夕	zhāo bù lǜ xī
朝不及夕	zhāo bù jí xī
朝不保夕	zhāo bù bǎo xī
朝不保暮	zhāo bù bǎo mù
瘴雨蛮云	zhàng yǔ mán yún
瘴雨蛮烟	zhàng yǔ mán yān
瘴乡恶土	zhàng xiāng è tǔ
杖钺一方	zhàng yuè yī fāng
杖头木偶	zhàng tóu mù ǒu
杖莫如信	zhàng mò rú xìn
杖履相从	zhàng lǚ xiāng cóng
杖节把钺	zhàng jié bǎ yuè
杖杜弄麞	zhàng dù nòng zhāng
杖策窥园	zhàng cè kuī yuán
仗义直言	zhàng yì zhí yán
仗义执言	zhàng yì zhí yán
仗义行仁	zhàng yì xíng rén
仗义疏财	zhàng yì shū cái
仗势欺人	zhàng shì qī rén
仗气直书	zhàng qì zhí shū
仗气使酒	zhàng qì shǐ jiǔ
仗马寒蝉	zhàng mǎ hán chán
仗节死义	zhàng jié sǐ yì
丈人行	zhàng rén háng
丈夫有泪不轻弹	zhàng fū yǒu lèi bù qīng tán
丈夫双泪不轻弹	zhàng fū shuāng lèi bù qīng tán
丈二和尚	zhàng èr hé shàng
涨啮城郭	zhàng niè chéng guō
张脉偾兴	zhāng mài fèn xīng
掌上珍珠	zhǎng shàng zhēn zhū
掌上明珠	zhǎng shàng míng zhū
掌上观纹	zhǎng shàng guān wén
掌上观文	zhǎng shàng guān wén
长幼尊卑	cháng yòu zūn bēi
长幼有序	zhǎng yòu yǒu xù
长他人志气，灭自己威风	zhǎng tā rén zhì qì，miè zì jǐ wēi fēng
长他人威风，灭自己志气	zhǎng tā rén wēi fēng，miè zì jǐ zhì qì
长他人锐气，灭自己威风	zhǎng tā rén ruì qì，miè zì jǐ wēi fēng
长年三老	zhǎng nián sān lǎo
长虺成蛇	zhǎng huī chéng shé
长别人志气，灭自己威风	zhǎng bié rén zhì qì，miè zì jǐ wēi fēng
长傲饰非	cháng ào shì fēi
獐头鼠目	zhāng tóu shǔ mù
獐麇马鹿	zhāng jūn mǎ lù
慞惶失次	zhāng huáng shī cì
彰往考来	zhāng wǎng kǎo lái
彰往察来	zhāng wǎng chá lái
彰善瘅恶	zhāng shàn dàn è
彰明昭著	zhāng míng zhāo zhù
彰明较著	zhāng míng jiào zhù
章台之柳	zhāng tái zhī liǔ
章台杨柳	zhāng tái yáng liǔ
章决句断	zhāng jué jù duàn
章句之徒	zhāng jù zhī tú
章句小儒	zhāng jù xiāo rú
章甫荐履	zhān fǔ jiàn lǚ
张嘴结舌	zhāng zuǐ jié shé
张嘴挢舌	zhāng zuǐ jiǎo shé
张眼露睛	zhāng yǎn lù jīng
张筵设戏	zhāng yán shè xì
张牙舞爪	zhāng yá wǔ zhǎo
张王赵李	zhāng wáng zhào lǐ
张王李赵	zhāng wáng lǐ zhào
张设布列	zhāng shè bù liè
张三吕四	zhāng sān lǚ sì
张三李四	zhāng sān lǐ sì
张袂成阴	zhāng mèi chéng yīn
张袂成帷	zhāng mèi chéng wéi
张眉张眼	zhāng méi zhāng yǎn
张眉努眼	zhāng méi nǔ yǎn
张眉努目	zhāng méi nǔ mù
张口吐舌	zhāng kǒu tǔ shé
张口结舌	zhāng kǒu jié shé
张口掉舌	zhāng kǒu diào shé
张甲李乙	zhāng jiǎ lǐ yǐ
张家长李家短	zhāng jiā cháng lǐ jiā duǎn
张机设阱	zhāng jī shè jǐng
张火伞	zhāng huǒ sǎn
张惶失措	zhāng huáng shī cuò
张徨失措	zhāng huáng shī cuò
张皇失错	zhāng huáng shī cuò
张皇失措	zhāng huáng shī cuò
张皇莫措	zhāng huáng mò cuò
张红燃爆	zhāng hóng rán bào
张冠李戴	zhāng guān lǐ dài
张公吃酒李公醉	zhāng gōng chī jiǔ lǐ gōng zuì
张公吃酒李公颠	zhāng gōng chī jiǔ lǐ gōng diān
张灯结彩	zhāng dēng jié cǎi
张灯挂彩	zhāng dēng guà cǎi
张大其事	zhāng dà qí shì
张大其词	zhāng dà qí cí
张唇植髭	zhāng chún zhí zī
张敞画眉	zhāng chǎng huà méi
张本继末	zhāng běn jì mò
湛湛青天	zhàn zhàn qīng tīan
站稳脚跟	zhàn wěn jiǎo gēn
站不住脚	zhàn bù zhù jiǎo
栈山航海	zhàn shān háng hǎi
战争贩子	zhàn zhēng fàn zǐ
战战业业	zhàn zhàn yè yè
战战慄慄	zhàn zhàn lì lì
战战栗栗	zhàn zhàn lì lì
战战兢兢	zhàn zhàn jīng jīng
战战惶惶	zhàn zhàn huáng huáng
战无不胜，攻无不取	zhàn wú bù shèng，gōng wú bù qǔ
战无不胜，攻无不克	zhàn wú bù shèng，gōng wú bù kè
战无不克	zhàn wú bù kè
战天斗地	zhàn tiān dòu dì
战胜攻取	zhàn shèng gōng qǔ
战略战术	zhàn lüè zhàn shù
战栗失箸	zhàn lì shī zhù
战火纷飞	zhàn huǒ fēn fēi
战不旋踵	zhàn bù xuán zhǒng
战必胜，攻必取	zhàn bì shèng，gōng bì qǔ
占着茅坑不拉屎	zhàn zhe máo kēng bù lā shǐ
占为己有	zhàn wéi jǐ yǒu
占山为王	zhàn shān wéi wáng
辗转相传	zhǎn zhuǎn xiāng chuán
辗转思念	zhǎn zhuǎn sī niàn
辗转伏枕	zhǎn zhuǎn fú zhěn
辗转反侧	zhǎn zhuǎn fǎn cè
崭露头角	zhǎn lù tóu jiǎo
展转推托	zhǎn zhuǎn tuī tuō
展转反侧	zhǎn zhuǎn fǎn cè
展眼舒眉	zhǎn yǎn shū méi
展土开疆	zhǎn tǔ kāi jiāng
展其骥足	zhǎn qí jì zú
展脚伸腰	zhǎn jiǎo shēn yāo
展翅高飞	zhǎn chì gāo fēi
斩头去尾	zhǎn tóu qù wěi
斩头沥血	zhǎn tóu lì xuè
斩蛇逐鹿	zhǎn shé zhú lù
斩木为兵，揭竿为旗	zhǎn mù wéi bīng，jiē gān wéi qí
斩木揭竿	zhǎn mù jiē gān
斩荆披棘	zhǎn jīng pī jí
斩尽杀绝	zhǎn jìn shā jué
斩将刈旗	zhǎn jiāng yì qí
斩将搴旗	zhǎn jiàng qiān qí
斩将夺旗	zhǎn jiàng duó qí
斩关夺隘	zhǎn guān duó ài
斩钢截铁	zhǎn gāng jié tiě
斩竿揭木	zhǎn gān jiē mù
斩钉切铁	zhǎn dìng qiē tiě
斩钉截铁	zhǎn dīng jié tiě
斩草除根	zhǎn cǎo chú gēn
斩岸堙溪	zhǎn àn yīn xī
占风望气	zhān fēng wàng qì
占风使帆	zhān fēng shǐ fān
鹯视狼顾	yīng shì láng gù
瞻云陟屺	zhān yún zhì qǐ
瞻云就日	zhān yún jiù rì
瞻予马首	zhān yú mǎ shǒu
瞻望咨嗟	zhān wàng zī jiē
瞻天恋阙	zhān tiān liàn què
瞻情顾意	zhān qíng gù yì
瞻前思后	zhān qián sī hòu
瞻前虑后	zhān qián lǜ hòu
瞻前忽后	zhān qián hū hòu
瞻前顾后	zhān qián gù hòu
瞻顾前后	zhān gù qián hòu
詹詹炎炎	zhān zhān yán yán
詹言曲说	zhān yán qǔ shuō
粘皮著骨	zhān  pí zhuó gǔ
粘皮带骨	zhān pí dài gǔ
毡袜裹脚靴	zhān wà guǒ jiǎo xuē
毡上拖毛	zhān shàng tuō máo
沾沾自足	zhān zhān zì zú
沾沾自衒	zhān zhān zì hái
沾沾自喜	zhān zhān zì xǐ
沾沾自满	zhān zhān zì mǎn
沾沾自好	zhān zhān zì hǎo
沾体涂足	zhān tǐ tú zú
沾亲带友	zhān qīn dài yǒu
沾亲带故	zhān qīn dài gù
沾泥带水	zhān ní dài shuǐ
沾花惹草	zhān huā rě cǎo
沾溉后人	zhān gài hòu rén
沾风惹草	zhān fēng rě cǎo
债台高筑	zhài tái gāo zhù
债多不愁	zhài duō bù chóu
窄门窄户	zhǎi mén zhǎi hù
宅中图大	zhái zhōng tú dà
宅心忠厚	zhái xīn zhōng hòu
宅心知训	zhái xīn zhī xùn
宅心仁厚	zhái xīn rén hòu
摘埴索涂	zhāi zhí suǒ tú
摘山煮海	zhāi shān zhǔ hǎi
摘句寻章	zhāi jù xún zhāng
摘瓜抱蔓	zhāi guā bào màn
摘胆剜心	zhāi dǎn wān xīn
斋心涤虑	zhāi xīn dí lǜ
斋居蔬食	zhāi jū shū shí
诈哑佯聋	zhà yǎ yáng lóng
诈取豪夺	zhà qǔ háo duó
诈谋奇计	zhà móu qí jì
诈奸不及	zhà jiān bù jí
诈痴佯呆	zhà chī yáng dāi
诈痴不颠	zhà chī bù diān
诈败佯输	zhà bài yáng shū
乍雨乍晴	zhà yǔ zhà qíng
乍往乍来	zhà wǎng zhà lái
乍同乍异	zhà tóng zhà yì
乍入芦圩，不知深浅	zhà rù lú wéi，bù zhī shēn qiǎn
咋舌不下	zhà shé bù xià
札手舞脚	zhá shǒu wǔ jiǎo
扎扎实实	zhā zhā shí shí
扎手舞脚	zhā shǒu wǔ jiǎo
扎根串连	zhā gēn chuàn lián
渣滓浊沫	zhā zǐ zhuó mò
查查胡胡	zhā zhā hú hú
甑尘釜鱼	zēng chén fǔ yú
憎爱分明	zēng ài fēn míng
增砖添瓦	zēng zhuān tiān wǎ
增收节支	zēng shōu jié zhī
曾子杀彘	zēng zǐ shā zhì
曾母投杼	zēng mǔ tóu zhù
曾参杀人	zēng shēn shā rén
谮下谩上	zèn xià mán shàng
贼走关门	zéi zǒu guān mén
贼子乱臣	zéi zǐ luàn chén
贼心不死	zéi xīn bù sǐ
贼头贼脑	zéi tóu zéi nǎo
贼头鼠脑	zéi tóu shǔ nǎo
贼头鬼脑	zéi tóu guǐ nǎo
贼头狗脑	zéi tóu gǒu nǎo
贼人心虚	zéi rén xīn xū
贼人胆虚	zéi rén dǎn xū
贼去关门	zéi qù guān mén
贼皮贼骨	zéi pí zéi gǔ
贼眉贼眼	zéi méi zéi yǎn
贼眉鼠眼	zéi méi shǔ yǎn
贼眉溜眼	zéi méi liū yǎn
贼喊捉贼	zéi hǎn zhuō zéi
贼夫人之子	zéi fū rén zhī zǐ
贼臣逆子	zéi chén nì zǐ
贼臣乱子	zéi chén luàn zǐ
贼不空手	zéi bù kōng shǒu
昃食宵衣	zè shí xiāo yī
赜探隐索	zé tàn yǐn suǒ
啧啧赞美	zé zé zàn měi
啧啧称赞	zé zé chēng zàn
啧啧称羡	zé zé chēng xiàn
啧有烦言	zé yǒu fán yán
责重山岳	zé zhòng shān yuè
责有攸归	zé yǒu yōu guī
责有所归	zé yǒu suǒ guī
责先利后	zé xiān lì hòu
责无旁贷	zé wú páng dài
责实循名	zé shí xún míng
责人以详，待己以廉	zé rén yǐ xiáng，dài jǐ yǐ lián
责己重以周，待人轻以约	zé jǐ zhòng yǐ zhōu，dài rén qīng yǐ yuē
责己重，待人轻	zé jǐ zhòng，dài rén qīng
责己以周，待人以约	zé jǐ yǐ zhōu，dài rén yǐ yuē
责躬罪己	zé gōng zuì jǐ
责躬省过	zé gōng xǐng guò
责备求全	zé bèi qiú quán
泽吻磨牙	zé wěn mó yá
泽深恩重	zé shēn ēn zhòng
泽及枯骨	zé jí kū gǔ
泽及髊骨	zé jí cī gǔ
择主而事	zé zhǔ ér shì
择优录取	zé yōu lù qǔ
择焉不精	zé yān bù jīng
择善固执	zé shàn gù zhí
择善而行	zé shàn ér xíng
择善而从	zé shàn ér cóng
择人任势	zé rén rèn shì
择人而事	zé rén ér shì
择其善者而从之	zé qí shàn zhě ér cóng zhī
择木而栖	zé mù ér qī
择木而处	zé mù ér chǔ
择邻而居	zé lín ér jū
择利行权	zé lì xíng quán
择交而友	zé jiāo ér yǒu
择祸从轻	zé huò cóng qīng
择福宜重	zé fú yí zhòng
择肥而噬	zé féi ér shì
择地而蹈	zé dì ér dǎo
燥荻枯柴	zào dí kū chái
造作矫揉	zào zuò jiǎo róu
造因结果	zào yīn jié guǒ
造因得果	zào yīn dé guǒ
造谣中伤	zào yáo zhòng shāng
造谣生事	zào yáo shēng shì
造谣生非	zào yáo shēng fēi
造谣惑众	zào yáo huò zhòng
造言生事	zào yán shēng shì
造言捏词	zào yán niē cí
造言惑众	zào yán huò zhòng
造微入妙	zào wēi rù miào
造天立极	zào tiān lì jí
造谋布阱	zào móu bù jǐng
造茧自缚	zào jiǎn zì fù
造极登峰	zào jí dēng fēng
造化小儿	zào huà xiǎo ér
造化弄人	zào huà nòng rén
造恶不悛	zào è bù quān
造端托始	zào duān tuō shǐ
造端倡始	zào duān chàng shǐ
造次颠沛	zào cì diān pèi
造车合辙	zào chē hé zhé
造谤生事	zào bàng shēng shì
皂丝麻线	zào sī má xiàn
皂白难分	zào bái nán fēn
皂白沟分	zào bái gōu fēn
皂白不分	zào bái bù fēn
灶上扫除	zào shàng sǎo chú
灶上骚除	zào shàng sāo chú
澡慰故俗	zǎo wèi gù sú
澡身浴德	zǎo shēn yù dé
澡垢索疵	zǎo gòu suǒ cī
蚤朝晏退	zǎo cháo yàn tuì
早知今日，悔不当初	zǎo zhī jīn rì，huǐ bù dāng chū
早知今日，何必当初	zǎo zhī jīn rì，hé bì dāng chū
早为之所	zǎo wéi zhī suǒ
早韭晚菘	zǎo jiǔ wǎn sōng
早出晚归	zǎo chū wǎn guī
早出暮归	zǎo chū mù guī
早朝晏罢	zǎo cháo yàn bà
凿柱取书	záo zhù qǔ shū
凿凿有据	záo záo yǒu jù
凿凿可据	záo záo kě jù
凿圆枘方	záo yuán ruì fāng
凿楹纳书	záo yíng nà shū
凿饮耕食	záo yǐn gēng shí
凿穴为居	záo xué wéi jū
凿隧入井	záo suì rù jǐng
凿破浑沌	záo pò hùn dùn
凿空指鹿	záo kōng zhǐ lù
凿空投隙	záo kōng tóu xì
凿空取办	záo kōng qǔ bàn
凿空立论	záo kōng lì lùn
凿龟数策	záo guī shǔ cè
凿骨捣髓	záo gǔ dǎo suì
凿壁悬梁	záo bì xuán liáng
凿壁偷光	záo bì tōu guāng
凿壁借光	záo bì jiè guāng
糟糠之妇	zāo kāng zhī fù
糟糠不厌	zāo kāng bù yàn
遭遇运会	zāo yù yùn huì
遭遇际会	zāo yù jì huì
遭遇不偶	zāo yù bù ǒu
遭事制宜	zāo shì zhì yí
遭时制宜	zāo shí zhì yí
遭时定制	zāo shí dìng zhì
遭时不偶	zāo shí bù ǒu
遭倾遇祸	zāo qīng yù huò
遭劫在数	zāo jié zài shù
遭家不造	zāo jiā bù zào
遭际时会	zāo jì shí huì
遭际不偶	zāo jì bù ǒu
遭逢时会	zāo féng shí huì
遭逢际会	zāo féng jì huì
遭逢会遇	zāo féng huì yù
遭逢不偶	zāo féng bù ǒu
葬玉埋香	zàng yù mái xiāng
葬用柔日	zàng yòng róu rì
葬身鱼腹	zàng shēn yú fù
臧穀亡羊	zāng gǔ wáng yáng
臧谷亡羊	zāng gǔ wáng yáng
臧否人物	zāng pǐ rén wù
臧仓小人	zāng cāng xiǎo rén
赃盈恶贯	zāng yíng è guàn
赃心烂肺	zāng xīn làn fèi
赃污狼藉	zāng wū láng jí
赃污狼籍	zāng wū láng jí
赃私狼藉	zāng sī láng jí
赃私狼籍	zāng sī láng jí
赃货狼藉	zāng huò láng jí
赃秽狼藉	zāng huì láng jí
赃贿狼藉	zāng huì láng jí
赃贿狼籍	zāng huì láng jí
赃官污吏	zāng guān wū lì
赞叹不置	zàn tàn bù zhì
赞叹不已	zàn tàn bù yǐ
赞声不绝	zàn shēng bù jué
赞口不绝	zàn kǒu bù jué
赞不容口	zàn bù róng kǒu
赞不绝口	zàn bù jué kǒu
暂劳永逸	zàn láo yǒng yì
簪缨之族	zān yīng zhī zú
簪缨世族	zān yīng shì zú
簪缨世胄	zān yīng shì zhòu
簪缨门第	zān yīng mén dì
簪盍良朋	zān hé liáng péng
簪蒿席草	zān hāo xí cǎo
簪笔磬折	zān bǐ qìng zhé
在在皆是	zài zài jiē shì
在天之灵	zài tiān zhī líng
在他檐下走，怎敢不低头	zài tā yán xià zǒu，zěn gǎn bù dī tóu
在他檐下过，不敢不低头	zài tā yán xià guò，bù gǎn bù dī tóu
在所自处	zài suǒ zì chǔ
在所难免	zài suǒ nán miǎn
在所不惜	zài suǒ bù xī
在所不免	zài suǒ bù miǎn
在所不辞	zài suǒ bù cí
在人屋檐下，不得不低头	zài rén wū yán xià，bù dé bù dī tóu
在人口耳	zài rén kǒu ěr
在人耳目	zài rén ěr mù
在人矮檐下，怎敢不低头	zài rén ǎi yán xià，zěn gǎn bù dī tóu
在劫难逃	zài jié nán táo
在家出家	zài jiā chū jiā
在官言官，在府言府	zài guān yán guān，zài fǔ yán fǔ
在谷满谷	zài gǔ mǎn gǔ
在此存照	zài cǐ cún zhào
在陈之厄	zài chén zhī è
再作冯妇	zài zuò féng fù
再造之恩	zài zào zhī ēn
再衰三竭	zài shuāi sān jié
再衰三涸	zài shuāi sān hé
