蝎子钻进砒霜粉里	浑身是毒 毒极了 最毒
棺材铺里冒烟	阴阳怪气
小孩摆神位	你哄我,我哄你
一个眼的判官	瞎鬼
屙屎捡银子	碰上的财富
睡大桌盖团簸	随得方就得园
小孩儿不认识下棋	走字儿
老虎和猪养的	又恶又蠢
檀香木劈劈柴	大材小用
搬倒树摸老鸹	照老稳处办
驼子睡碾槽	以弯就弯
吃了哑巴药	开不得口
不倒翁掉在铜盆里	哪碰哪响
五匹子拖稻草	晃大
判决书做衣服	混身是罪
缺口碗盛浆糊	白流
未出窝的麻雀嘴朝外	挨着了就吃
吹糖的人改行	不想做人了
放屁拉响抽屉	遮盖脸
十文钱掉了一文	久闻 九文
猴子爬杆狗钻圈,黄鼠狼专钻水道眼儿	各有各的门道
哑子黄连	有苦说勿出
虎咬石狮子	没有人味
弟兄们分家	单干 另起炉灶
金瓜配银瓜	两个顶呱呱
米臼捣沙	实言 石研
戏台底下掉泪	替古人担忧
瓜地里选瓜	越看眼越花
石匠断磨	实打实铲 石打石铲
落雨汤粉丝	有腔
人造革做鼓皮	不响
开水里擀面	没法下手
躺在粪坑边睡觉	不知臭 不知丑
哑巴同床睡	没说的
吴趋坊看会	老等
癞蛤蟆过河	一鼓作气
手指上戴钢箍	顶真 顶针
大雁吃莲秆儿	直脖儿了
糖包子蘸碱水	自讨苦吃 自找苦吃
城头上吊帘子	没门
草窝里抓刺猬	不好下手
老太婆穿线	推位一线
磕一个头放两个屁	行好没有作恶多 行善没有作恶多 行好没有作恶的多
王伦当寨主	没人投奔 安不得人
槽里吃食,圈上操痒	快活畜牲
大公鸡斗架	全凭一张嘴
玉泉山的水甜	远水不解近渴
丝线搭桥	难过
喝蜂糖说好话	甜言蜜语
骑驴子看唱本	走着瞧
土谷蛇生蝎子	屙毒 恶毒
染坊里上吊	色鬼
岳庙里戏台	多搭
火烧纸马铺	落得做人情 迟早要归天
小囡吃泡泡糖	吞吞吐吐
叫花子进庙	穷祷告
乌纸画乌虎	睇不着
十二岁进敬老院	莫把福享早了 享福太早
汰脚布揩面	勿分上下 不分上下
谷筛罩的	一眼看穿
棉花店关门	不弹了 不谈了
扛青扛夹板的	惹不起
麦秆儿上插针	节外生枝
顶了石臼掉狮子	吃力勿讨俏
死灰冒烟	想复燃
茅厕板上捡手帕	揩得口 开得口
老乌龟	又精又硬
军事家的论文	纸上谈兵
叫化子请过年	大家挨饿
旦包子长吓天大	也是个旮出货
高山有好水,平地有好花	各有所长
麻雀入了猫口	不死也要脱身毛
老虎进口袋	自己找死
阎王老爷不戴帽	鬼头鬼脑
麦子地里点绿豆	杂种
纸做栏杆	没依靠 不能依靠
猴子争衔烟斗	假装
心里头结冰块	凉透了 凉透心 冷透心
往炉灶里泼水	憋气又窝火
胸前划十字	上帝保佑 上帝保佐
玻璃人儿	透极了
怀里抱冰	心寒 寒透心了
马上吃猪蹄	不知骨头落那里 骨头不知在那里 不知骨头落哪里了
三个手指捏田螺	万无一失
老鼠钻人风箱	两头受气
三羊止步	六角停 六角亭
头顶生疮脚底流浓	环透
讨饭吃牵外猴	穷欢乐
肥佬穿笠衫	几大就几大
航船上的臭虫	老吃客
单膀鱼	难浮水
泥鳅进汤锅	看你往哪钻
火烧灯笼	露了骨 露骨
躺在棺材里睡觉	没人找你
墙上的裂缝	合不拢 合不到一块
风吹草人	难免动摇
拿大顶看世界	一切颠倒
豆腐跌在灰堆上了	吹不得打不得
信虎的眼睛	灰蓝蛋
和尚误了做,老婆误了娶	两下里都耽搁了 两下里耽搁
你卖门神他卖鬼	同行
横垄地撵瘸子	一步赶不上,步步赶不上
引狼入室	自取灭亡 不顾后患 自招祸灾 自招灾祸
猫不偷鱼吃	假正经
炉坑里烧山药	灰疙瘩
井里的蛤蟆戴草帽	没见过蓝天
活人能叫尿憋死	怪事一桩 怪事
岳口截河的巴子	吃也后悔,不吃也后悔
小铁匠做官	打字当头
千里马竞赛	你快我也快
挂了蚊帐点蚊香	多此一举
癞蛤蟆装鞍子	骑怪 奇怪
黑瞎子遮太阳	手大捂不过天来 手再大也捂不过天来 手大捂不住天
大山装肚里	不觉胀
钟馗站在十字路	四下拿邪
一丈布卖唠九尺两	就尔哈一吃两
喔尿洗碗	一举两得
拿别人的仔打赌	不心痛
呆子求晴	有理说不清
又踢又咬的鸭子	难合群 不合群
哑巴做证	有口难言 有回难吉
月里娃喝凉水	胎焦 太焦
五明头的鸡儿	乱叫
山蚂蜂过河	带毒 带肚
大JS日嫩批	一百 一掰
花篮提水	一场空
年五更打了个兔子	有它过年,没它也过年
潘仁美的脚板子	里勾外联
狐狸窝里的萝卜	骚货 臊货
尿鳖子盛酒	不是正经东西 满不在壶 满不在乎
萤火虫触屁股	亮打亮
三个字的匾	但求腾
缺牙巴吃豆子	原进原出
王先生看报	一塌糊涂
送死人的车马	纸糊的
药料里格甘草	百搭
拄着拐棍下炭窑	处处倒霉 处处捣煤
饭锅里冒烟	米糊了 迷糊了 米煳了
茶灶子搬家	另起炉灶
齐头山蚂蚱	老油子 老资格
喇叭的儿子	小广播
老虎扑苍蝇	小事大办
网上胡侃	谁也不知道谁
猪八戒背孙悟空	能人背后有能人
猴子叼烟卷	像人不是人
蝎子虎子打喷嚏	满嘴喷尿
嘴里扛在肩上	到处吃人家
城隍老爷掷骰子	净是鬼点子 鬼点子多
蚍蜉撼树	不自量力
头顶上演杂技	人上人
长秆打猴	爬到高处去了
兔子没毛	装就材料
粥铺里的买卖	热闹一早
豆芽长上了天	也是菜货
开挂面铺的	没短的
兔子蹦到油锅里	送上嘴的好菜
